# aaafc928-3746-4584-9cc9-093af8089166
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.1718438; 0.7856446; -1.7262112; 0.0007482; 8.0000000; 0.0000000
0.1998969; 0.3693336; 0.7547173; -1.7260618; 0.0007463; 8.0000000; 0.0000000
0.3997937; 0.5668281; 0.7238195; -1.7259128; 0.0007444; 8.0000000; 0.0000000
0.5996906; 0.7643272; 0.6929511; -1.7257642; 0.0007425; 8.0000000; 0.0000000
0.7995874; 0.9618309; 0.6621120; -1.7256160; 0.0007405; 8.0000000; 0.0000000
0.9994843; 1.1593392; 0.6313021; -1.7254682; 0.0007386; 8.0000000; 0.0000000
1.1993811; 1.3568519; 0.6005214; -1.7253207; 0.0007367; 8.0000000; 0.0000000
1.3992780; 1.5543692; 0.5697697; -1.7251737; 0.0007347; 8.0000000; 0.0000000
1.5991748; 1.7518911; 0.5390471; -1.7250270; 0.0007328; 8.0000000; 0.0000000
1.7990717; 1.9494174; 0.5083534; -1.7248807; 0.0007309; 8.0000000; 0.0000000
1.9989686; 2.1469482; 0.4776886; -1.7247348; 0.0007289; 8.0000000; 0.0000000
2.1988654; 2.3444835; 0.4470526; -1.7245893; 0.0007270; 8.0000000; 0.0000000
2.3987623; 2.5420232; 0.4164452; -1.7244441; 0.0007251; 8.0000000; 0.0000000
2.5986591; 2.7395674; 0.3858665; -1.7242994; 0.0007231; 8.0000000; 0.0000000
2.7985560; 2.9371159; 0.3553164; -1.7241550; 0.0007212; 8.0000000; 0.0000000
2.9984528; 3.1346690; 0.3247947; -1.7240111; 0.0007192; 8.0000000; 0.0000000
3.1983497; 3.3322263; 0.2943014; -1.7238675; 0.0007173; 8.0000000; 0.0000000
3.3982466; 3.5297880; 0.2638365; -1.7237243; 0.0007153; 8.0000000; 0.0000000
3.5981434; 3.7273541; 0.2333998; -1.7235815; 0.0007134; 8.0000000; 0.0000000
3.7980403; 3.9249245; 0.2029912; -1.7234391; 0.0007114; 8.0000000; 0.0000000
3.9979371; 4.1224994; 0.1726108; -1.7232971; 0.0007095; 8.0000000; 0.0000000
4.1978340; 4.3200784; 0.1422584; -1.7231555; 0.0007075; 8.0000000; 0.0000000
4.3977308; 4.5176617; 0.1119340; -1.7230142; 0.0007055; 8.0000000; 0.0000000
4.5976277; 4.7152493; 0.0816374; -1.7228734; 0.0007036; 8.0000000; 0.0000000
4.7975245; 4.9128412; 0.0513686; -1.7227330; 0.0007016; 8.0000000; 0.0000000
4.9974214; 5.1104374; 0.0211275; -1.7225929; 0.0006996; 8.0000000; 0.0000000
5.1973183; 5.3080377; -0.0090860; -1.7224532; 0.0006977; 8.0000000; 0.0000000
5.3972151; 5.5056423; -0.0392719; -1.7223140; 0.0006957; 8.0000000; 0.0000000
5.5971120; 5.7032510; -0.0694303; -1.7221751; 0.0006937; 8.0000000; 0.0000000
5.7970088; 5.9008640; -0.0995613; -1.7220366; 0.0006917; 8.0000000; 0.0000000
5.9969057; 6.0984811; -0.1296650; -1.7218986; 0.0006898; 8.0000000; 0.0000000
6.1968025; 6.2961023; -0.1597415; -1.7217609; 0.0006878; 8.0000000; 0.0000000
6.3966994; 6.4937277; -0.1897907; -1.7216236; 0.0006858; 8.0000000; 0.0000000
6.5965962; 6.6913572; -0.2198129; -1.7214867; 0.0006838; 8.0000000; 0.0000000
6.7964931; 6.8889908; -0.2498081; -1.7213502; 0.0006818; 8.0000000; 0.0000000
6.9963900; 7.0866286; -0.2797763; -1.7212141; 0.0006798; 8.0000000; 0.0000000
7.1962868; 7.2842703; -0.3097177; -1.7210784; 0.0006778; 8.0000000; 0.0000000
7.3961837; 7.4819161; -0.3396323; -1.7209432; 0.0006758; 8.0000000; 0.0000000
7.5960805; 7.6795660; -0.3695202; -1.7208083; 0.0006738; 8.0000000; 0.0000000
7.7959774; 7.8772198; -0.3993815; -1.7206738; 0.0006718; 8.0000000; 0.0000000
7.9958742; 8.0748778; -0.4292162; -1.7205397; 0.0006698; 8.0000000; 0.0000000
8.1957711; 8.2725396; -0.4590245; -1.7204060; 0.0006677; 8.0000000; 0.0000000
8.3956680; 8.4702055; -0.4888064; -1.7202727; 0.0006657; 8.0000000; 0.0000000
